"Coefficient","Mean","CI_Lower","CI_Upper"
"(Intercept)",4.9790694619687,4.86041799209674,5.10099857062622
"event_categoryLeisure and Recreation",0.0857893034648611,0.0304645332905291,0.140310815323225
"event_categorySocial and Personal Relationships",0.0144414962917427,-0.0553337454436021,0.0806070521249525
"event_categoryWork and Professional Engagements",-0.280117743635036,-0.356047826817434,-0.20293950553921
"event_categoryHealth and Well-being",-0.652943494971757,-0.895513243256477,-0.426031874973697
"event_categoryIndeterminate",-0.00639846546021969,-0.121980675781753,0.10040604074336
"groupBPD",-2.14062371104729,-2.36104966256574,-1.92063302671037
"event_categoryLeisure and Recreation:groupBPD",-0.0107496450756199,-0.196156438278224,0.18363198902024
"event_categorySocial and Personal Relationships:groupBPD",-0.316541335986085,-0.462043945039978,-0.177993100749644
"event_categoryWork and Professional Engagements:groupBPD",-0.156125657622644,-0.442737446632976,0.143146030236983
"event_categoryHealth and Well-being:groupBPD",-0.031079650287745,-0.330979105364595,0.270937405993102
"event_categoryIndeterminate:groupBPD",-0.0400742484980808,-0.266577881886461,0.177671957022033
