"Coefficient","Mean","CI_Lower","CI_Upper"
"(Intercept)",5.19133102515401,5.08015937912519,5.30447149964386
"event_subcategoryEntertainment and Media Consumption",-0.031670729253203,-0.128418346714201,0.0674456488416002
"event_subcategoryPersonal Care and Hygiene",0.0826444517869977,-0.0480024988594654,0.21108256554584
"event_subcategoryCommuting",-0.107435688863856,-0.225995439306198,0.0103147564397299
"event_subcategoryFamily Dynamics",-0.116332407887024,-0.217340302205939,-0.0192092127874786
"event_subcategorySocializing and Leisure",0.110678811216786,-0.0168556722681272,0.233781162102057
"event_subcategoryTravel and Excursions",-0.0939098133811878,-0.303725326061403,0.121422941250613
"event_subcategoryCultural and Community Events",0.264782813384758,0.0444272473704848,0.485789864765818
"event_subcategoryCompanion Animal Care",-0.227448225050648,-0.46857736848729,0.0299549354887436
"event_subcategoryOutdoor and Recreational Activities",0.109717606432226,-0.0436068042332056,0.258424603044976
"event_subcategoryRest and Sleep",-0.450268656625379,-0.582164435133718,-0.312171056843954
"event_subcategoryMedical Treatment and Healthcare Interactions",-0.603145720493702,-0.85481681689194,-0.333330625373038
"event_subcategoryHealthcare Journeys and Visits",-0.938254441574435,-1.14007510202002,-0.737001509434641
"event_subcategoryShopping and Errands",-0.120899521733663,-0.234249323399303,-0.0146616799810654
"event_subcategoryHousehold Chores",-0.123376438752414,-0.224670220709611,-0.0234568128783841
"event_subcategoryEmotional and Conflict Resolution",-1.33422027284113,-1.57645769434306,-1.10888269014501
"event_subcategoryWork-Related Tasks and Projects",-0.353194872643419,-0.465357189398071,-0.235955697661908
"event_subcategoryMental Health and Emotional State",-1.10663540825716,-1.35110374976434,-0.867393596303674
"event_subcategoryIndeterminate",-0.243482743937328,-0.361311939687101,-0.124908543236591
"event_subcategoryRomantic Partnerships",-0.0102009473178284,-0.173904174182619,0.160290981965806
"event_subcategoryMood and Emotional Fluctuations",-0.920397269490959,-1.25677246632812,-0.598014733387919
"event_subcategoryFriendship Activities",0.14279371823338,0.02280491744121,0.263118174633476
"event_subcategoryAcquaintance and Casual Interactions",-0.356237269534611,-0.533818981145159,-0.167014427831821
"event_subcategoryEducational and Academic Work",-0.440856784940886,-0.558861972431454,-0.320925523531654
"event_subcategoryProfessional Communication and Meetings",-0.310939578699859,-0.444826574159015,-0.170418276884144
"event_subcategoryRelaxation",0.248880626959724,0.00937738026656975,0.482378109264394
"event_subcategoryLeisure and Entertainment at Home",0.112139696912135,-0.0284401994621115,0.254773782219609
"event_subcategoryReading and Intellectual Activities",-0.263327111161177,-0.423880429961988,-0.0962847311665646
"event_subcategoryGames and Hobbies",0.0283039739347244,-0.152620917248352,0.215445965487412
"event_subcategoryFinancial and Administrative Tasks",-0.156349121441044,-0.804849512887892,0.414016155651902
"event_subcategoryPhysical Health and Symptoms",-1.34779541554355,-1.83203255926068,-0.826805043904743
"event_subcategorySports and Physical Activities",0.294807421496462,0.088807143637088,0.499361584999108
"groupBPD",-2.26808531454912,-2.48167610624776,-2.05593641546083
