"Coefficient","Mean","CI_Lower","CI_Upper"
"(Intercept)",8.32675320456618,8.22894266185004,8.43259570586421
"event_categoryLeisure and Recreation",-0.000813274318294577,-0.0433658463833638,0.0437838783659409
"event_categorySocial and Personal Relationships",-0.0241201216432736,-0.0732511909338797,0.0257226467542323
"event_categoryWork and Professional Engagements",-0.183322948164705,-0.268765834768515,-0.0916025974546908
"event_categoryHealth and Well-being",-0.514230005118503,-0.693365140777417,-0.33020233001801
"event_categoryIndeterminate",-0.0703026849046002,-0.173057924357949,0.0273028013723165
"groupBPD",-4.26328381505411,-4.60347838035451,-3.93472712420937
"event_categoryLeisure and Recreation:groupBPD",0.151274418651452,-0.0676592437374938,0.379944080708214
"event_categorySocial and Personal Relationships:groupBPD",-0.222066845029688,-0.405510173014963,-0.0326399639873381
"event_categoryWork and Professional Engagements:groupBPD",0.0121937555559961,-0.312472412160333,0.322531748548054
"event_categoryHealth and Well-being:groupBPD",-0.474025015707097,-0.771715453800715,-0.168049338258523
"event_categoryIndeterminate:groupBPD",-0.287335015219734,-0.497389712220995,-0.0764176404653462
