"Coefficient","Mean","CI_Lower","CI_Upper"
"(Intercept)",8.27753675776367,8.17776349332273,8.3801767011379
"event_categoryLeisure and Recreation",-0.00574827272347551,-0.0642829722505097,0.0454398248966788
"event_categorySocial and Personal Relationships",-0.0474250173662684,-0.116066928698136,0.0150804576993519
"event_categoryWork and Professional Engagements",-0.188584738640379,-0.289322045337895,-0.0946913306423453
"event_categoryHealth and Well-being",-0.456234929020649,-0.670830176122767,-0.258358504483501
"event_categoryIndeterminate",-0.0450807630120341,-0.141605909288151,0.0412360866785647
"groupBPD",-3.96725401025263,-4.24573424313648,-3.69064372851025
"event_categoryLeisure and Recreation:groupBPD",0.088334219877416,-0.131329756378256,0.307042521988103
"event_categorySocial and Personal Relationships:groupBPD",-0.260204007584572,-0.457637262626793,-0.063796361624368
"event_categoryWork and Professional Engagements:groupBPD",0.177506165871935,-0.165991064974931,0.567242884534206
"event_categoryHealth and Well-being:groupBPD",-0.646669329990267,-1.00855555666581,-0.291877940412629
"event_categoryIndeterminate:groupBPD",-0.382406516915142,-0.60208506150946,-0.164883841217104
