"Coefficient","Mean","CI_Lower","CI_Upper"
"(Intercept)",5.01548030566198,4.89507644674098,5.13492390535473
"event_subcategoryEntertainment and Media Consumption",0.154585951620363,0.0202778959151355,0.285584192712936
"event_subcategoryPersonal Care and Hygiene",0.103855115985907,-0.0412503141032045,0.249048684618309
"event_subcategoryCommuting",-0.15353256329989,-0.299302469451575,-0.0100641905041281
"event_subcategoryFamily Dynamics",-0.138036625079553,-0.263101861634078,-0.0211147693695952
"event_subcategorySocializing and Leisure",-0.0691753186964244,-0.214513274879133,0.0723693441027395
"event_subcategoryTravel and Excursions",0.0613991494260057,-0.253676196122786,0.353732737931527
"event_subcategoryCultural and Community Events",0.104225156241832,-0.173803565878922,0.382974269095145
"event_subcategoryCompanion Animal Care",0.00286706304863014,-0.285869168871897,0.294829433824966
"event_subcategoryOutdoor and Recreational Activities",0.0467287184375278,-0.102636909028159,0.19837964201794
"event_subcategoryRest and Sleep",-0.00238648805827802,-0.135270219138098,0.131741058698026
"event_subcategoryMedical Treatment and Healthcare Interactions",-0.627958195691848,-0.995378801919873,-0.251864159275529
"event_subcategoryHealthcare Journeys and Visits",-0.711776894269554,-0.931145640592092,-0.483819666171455
"event_subcategoryShopping and Errands",-0.180535782914948,-0.316423733463847,-0.0433122150920982
"event_subcategoryHousehold Chores",-0.128751694609464,-0.231167355152911,-0.026387821515283
"event_subcategoryEmotional and Conflict Resolution",-1.29155253814209,-1.52339208149241,-1.06883414094048
"event_subcategoryWork-Related Tasks and Projects",-0.413943623632946,-0.552757776010493,-0.277043499803763
"event_subcategoryMental Health and Emotional State",-1.06360185159397,-1.38919009493731,-0.767705320603073
"event_subcategoryIndeterminate",-0.190212916709863,-0.318761379857408,-0.0586616278811461
"event_subcategoryRomantic Partnerships",0.0122375645976007,-0.205916384221438,0.223457477612267
"event_subcategoryMood and Emotional Fluctuations",-0.897960872219166,-1.21953330460337,-0.607898672904376
"event_subcategoryFriendship Activities",0.0227868708547335,-0.107416527746617,0.151430563791795
"event_subcategoryAcquaintance and Casual Interactions",-0.338605836953324,-0.549098594067357,-0.133568277620642
"event_subcategoryEducational and Academic Work",-0.335537677856758,-0.496168202817769,-0.170255829147223
"event_subcategoryProfessional Communication and Meetings",-0.398545619601097,-0.559713227783445,-0.233745018635257
"event_subcategoryRelaxation",0.298207689896745,-0.0312632965210329,0.61784973415739
"event_subcategoryLeisure and Entertainment at Home",0.164462176163014,-0.015834248104876,0.33981351598949
"event_subcategoryReading and Intellectual Activities",0.0447471732225082,-0.125928716398044,0.204230483327631
"event_subcategoryGames and Hobbies",-0.22196599697244,-0.468009550455733,0.00407496079923503
"event_subcategoryFinancial and Administrative Tasks",-0.479548426489267,-0.938383236506319,0.0178811511008702
"event_subcategoryPhysical Health and Symptoms",-0.573020242139804,-1.05536518878773,-0.0584638383464551
"event_subcategorySports and Physical Activities",0.031892286203526,-0.232012286548151,0.285933663932959
"groupBPD",-2.04653383688125,-2.2108805617253,-1.88635868908415
